,Fold,Baseline Error,Ridge Error,KNN Error,RF Error,ANN Error,Logistic Error
150,6,0.06963734567901232,0.06963818286911794,1.8595041322314048,0.5289256198347104,6.918231403493636,1
151,6,0.5418595679012347,0.5419032297214622,0.20661157024793392,0.669421487603306,0.18727296364710355,0
152,6,3.014081790123457,3.0141412877515905,6.950413223140496,2.9834710743801645,2.1917686593201893,1
153,7,3.4637345679012346,3.1872494753136564,6.25,13.097505668934238,8.185774280246733,9
154,7,3.4637345679012346,6.162090516845846,5.76,9.0,21.647625674459277,9
155,7,3.4637345679012346,3.53235443971412,2.8900000000000006,2.4693877551020416,2.4828193603809723,9
156,4,7.3350694444444455,7.335124362137394,9.0,2.431234698232295,26.490753228629046,4
157,4,1.6684027777777775,1.668392644777835,2.040816326530612,1.009501134296175,3.9997482339422277,4
158,4,7.3350694444444455,7.335120057175894,11.755102040816325,15.848700613193772,33.95803187928527,4
159,5,2.334104938271605,2.334014642805527,2.25,0.13991026163976464,5.819060689511616,1
160,5,12.056327160493828,12.056257239597825,12.017777777777779,11.539245964687375,5.028287948707884,16
161,5,6.38966049382716,6.389661983175966,6.5024999999999995,1.0777926694248585,0.1188807686631046,4
162,6,1.59741512345679,1.597409642813782,1.3966942148760326,0.00826446280991734,2.6938256544099204,4
163,6,27.708526234567906,27.70849498845741,21.495867768595044,17.48760330578512,4.61230120208711,36
164,6,7.48630401234568,7.486215199436008,9.0,9.553719008264462,6.638828629555974,4
165,7,3.4637345679012346,1.4231508661390997,6.25,13.097505668934238,8.42901133849432,1
166,7,1.2970679012345678,1.8407571104064975,0.8099999999999998,1.6530612244897955,4.701057191553502,4
167,7,8.185956790123457,9.084880955214675,5.289999999999999,12.08390022675737,22.477729224438235,4
